nome, email, whatsapp, RA, curso, período, campus, area, subarea, qualidades, defeitos
Robert Allan, robertallan@alunos.utfpr.edu.br, +55 44 92003-6136, 2720119, BACHARELADO EM ENGENHARIA DE SOFTWARE, 6, CORNÉLIO PROCÓPIO, AVIÔNICA, AVIÔNICA, Consectetur dolor etincidunt dolor est aliquam. Quiquia tempora aliquam porro. Neque magnam dolore modi sed. Voluptatem magnam sed aliquam tempora. Sed porro aliquam dolor etincidunt est. Sed magnam dolorem dolor tempora dolorem est eius. Labore numquam etincidunt tempora quiquia non dolor. Dolore dolor ipsum non quisquam labore quisquam. Velit ipsum ipsum est aliquam ipsum porro ipsum., Numquam etincidunt non non ipsum quaerat modi. Neque adipisci amet labore est. Tempora labore quiquia neque eius est quiquia consectetur. Numquam velit est non est aliquam neque. Quaerat neque dolorem aliquam. Aliquam velit voluptatem etincidunt quiquia velit dolorem porro.
James Friend, jamesfriend@alunos.utfpr.edu.br, +55 19 91883-6152, 9497914, LICENCIATURA EM LETRAS INGLÊS, 3, CURITIBA, AVIÔNICA, AVIÔNICA, Non dolor quiquia ipsum numquam numquam. Dolorem dolor neque eius aliquam dolor non quaerat. Adipisci numquam dolore quaerat. Porro etincidunt amet ut ipsum. Sit etincidunt non quisquam. Velit porro sed dolorem labore modi ut non. Ut porro aliquam dolor neque tempora magnam modi. Quiquia modi voluptatem dolor amet amet aliquam quaerat., Tempora est velit quiquia sed aliquam numquam. Dolorem dolorem est eius amet etincidunt. Labore velit tempora quiquia labore. Dolor voluptatem eius sit eius etincidunt consectetur sed. Neque amet ut modi numquam neque magnam aliquam. Adipisci dolore quiquia quiquia eius. Aliquam labore modi quisquam magnam ut tempora. Est consectetur sit est quiquia adipisci quiquia.
George Coleman, georgecoleman@alunos.utfpr.edu.br, +55 78 94794- 481,  626577, ENGENHARIA DE PRODUÇÃO, 9, MEDIANEIRA, AVIÔNICA, AVIÔNICA, Dolore est numquam voluptatem neque. Voluptatem non quisquam eius non eius eius amet. Numquam velit magnam dolore magnam neque ut. Tempora consectetur aliquam sit velit voluptatem amet. Ut tempora sed est sed sit. Dolorem porro dolorem quiquia amet numquam. Adipisci non neque dolorem velit aliquam ut., Ipsum porro eius voluptatem neque amet. Velit modi quiquia etincidunt dolore dolor. Consectetur numquam dolorem magnam quisquam modi amet dolore. Ut adipisci sit neque sit. Quiquia quiquia dolor labore. Dolor dolorem adipisci dolorem quisquam. Dolore ut ipsum dolore dolor dolor. Ipsum velit quiquia numquam neque modi. Numquam etincidunt dolore labore.
Patricia Marshall, patriciamarshall@alunos.utfpr.edu.br, +55 34 92135-2151,  125321, TECNOLOGIA EM DESIGN GRÁFICO, 2, CURITIBA, AVIÔNICA, AVIÔNICA, Sit quiquia velit voluptatem ipsum ut. Labore dolorem quaerat velit dolorem adipisci non. Magnam velit quiquia voluptatem aliquam adipisci adipisci. Ipsum labore labore quiquia. Tempora porro labore modi numquam. Non neque neque neque adipisci quaerat. Adipisci quisquam aliquam labore aliquam labore. Amet aliquam quisquam tempora dolore eius. Aliquam adipisci est adipisci aliquam velit sit aliquam., Ipsum magnam adipisci quaerat sit. Modi dolorem est adipisci neque amet. Modi quaerat dolore consectetur magnam dolorem. Modi aliquam tempora aliquam magnam dolor dolore. Magnam neque etincidunt etincidunt quaerat magnam. Non adipisci voluptatem adipisci.
Christopher Jones, christopherjones@alunos.utfpr.edu.br, +55 59 96690-5622, 5506501, ENGENHARIA FLORESTAL, 9, DOIS VIZINHOS, AVIÔNICA, AVIÔNICA, Dolorem voluptatem sed dolorem tempora aliquam etincidunt adipisci. Voluptatem quisquam modi labore sed. Dolorem modi quaerat quiquia. Neque tempora numquam ut ut quaerat sit. Consectetur porro magnam dolor labore voluptatem porro sed. Tempora quiquia ipsum dolor quiquia consectetur. Eius velit consectetur neque consectetur ut. Quaerat modi consectetur voluptatem. Labore labore voluptatem dolorem. Ut neque numquam dolorem., Ut numquam tempora dolore. Sed ipsum porro dolore neque amet ipsum. Non ipsum aliquam dolorem. Voluptatem labore consectetur aliquam dolorem modi consectetur. Quisquam neque tempora amet modi eius sed. Non dolorem non adipisci velit amet. Labore numquam adipisci adipisci tempora est eius. Magnam ut ipsum neque consectetur voluptatem voluptatem.
David Burley, davidburley@alunos.utfpr.edu.br, +55 33 90097-2464, 6583334, BACHARELADO EM ENGENHARIA DE SOFTWARE, 4, CORNÉLIO PROCÓPIO, AVIÔNICA, AVIÔNICA, Voluptatem ipsum consectetur eius magnam amet modi. Voluptatem non voluptatem labore magnam amet. Labore non consectetur dolorem eius voluptatem numquam. Ipsum est sit quisquam voluptatem ipsum. Neque aliquam est neque porro voluptatem ipsum. Quaerat eius dolorem velit modi voluptatem consectetur neque. Dolorem consectetur est dolore tempora etincidunt sed. Ut aliquam voluptatem eius. Ut etincidunt sed velit. Non porro neque sed., Ut quiquia sed modi eius. Neque amet neque sit dolor. Magnam labore etincidunt non velit consectetur sit tempora. Voluptatem sit amet ipsum. Etincidunt etincidunt numquam ut amet dolorem tempora numquam. Eius sed velit adipisci ut magnam. Eius velit ut eius dolorem aliquam. Porro amet ut non.
Teri Whitman, teriwhitman@alunos.utfpr.edu.br, +55 35 93128-5137, 2256162, ZOOTECNIA, 3, DOIS VIZINHOS, MECÂNICA, ESTRUTURA, Porro porro non dolore. Magnam non est tempora. Modi amet quisquam labore magnam quiquia non. Tempora velit est ipsum consectetur. Quaerat ut modi tempora quiquia eius., Numquam amet aliquam quaerat adipisci tempora sit. Etincidunt velit adipisci ut eius adipisci. Labore adipisci sed sit amet aliquam etincidunt modi. Modi adipisci quaerat est eius. Tempora voluptatem est dolor. Voluptatem quisquam magnam numquam neque dolorem modi. Non ipsum porro numquam dolor neque labore.
Joan Strother, joanstrother@alunos.utfpr.edu.br, +55 86 99399-5196,  512573, ENGENHARIA DE ALIMENTOS, 1, CAMPO MOURÃO, MECÂNICA, ESTRUTURA, Dolore non aliquam quaerat velit modi neque. Numquam consectetur dolor ipsum magnam dolore etincidunt quisquam. Magnam adipisci tempora adipisci ipsum quisquam. Adipisci labore etincidunt modi dolorem consectetur. Dolore non voluptatem magnam labore tempora. Ut modi sed aliquam sit ipsum labore quiquia. Dolor quisquam adipisci porro quaerat sed dolor. Amet consectetur dolore etincidunt., Amet etincidunt labore dolore. Tempora adipisci voluptatem tempora neque numquam. Labore numquam dolorem voluptatem porro numquam. Quaerat etincidunt sed sed velit neque adipisci. Quisquam numquam dolorem dolor modi. Amet ipsum quiquia labore ut modi. Etincidunt dolorem dolor aliquam adipisci dolorem est.
Gwendolyn Carpenter, gwendolyncarpenter@alunos.utfpr.edu.br, +55 56 95710-5696, 7377090, COMUNICAÇÃO ORGANIZACIONAL, 4, CURITIBA, MECÂNICA, ESTRUTURA, Dolor quisquam dolor quisquam dolore est etincidunt. Quisquam magnam non quaerat etincidunt adipisci. Dolorem tempora non neque. Neque ut porro sed dolorem velit etincidunt. Dolore adipisci eius modi. Ut ipsum modi consectetur dolor amet labore aliquam. Sit quiquia quaerat velit voluptatem. Est tempora labore neque eius sit. Modi quisquam aliquam dolore. Ut velit quaerat quiquia voluptatem velit dolorem dolor., Velit labore magnam neque etincidunt neque voluptatem quaerat. Velit tempora modi modi numquam consectetur est. Tempora amet porro voluptatem est eius. Dolorem numquam sit ut eius voluptatem est non. Numquam quiquia porro non. Est consectetur amet sit numquam. Etincidunt consectetur dolore dolorem non. Aliquam dolor neque eius. Consectetur non etincidunt quiquia ut quaerat porro quaerat.
Thomas Penny, thomaspenny@alunos.utfpr.edu.br, +55 15 91144-5027, 2254040, ENGENHARIA QUÍMICA, 4, CAMPO MOURÃO, MECÂNICA, ESTRUTURA, Est amet dolor dolor adipisci. Dolore ipsum aliquam quiquia neque sit etincidunt. Neque labore ut ipsum velit ipsum. Dolorem labore tempora numquam ipsum magnam etincidunt aliquam. Sit consectetur sed labore adipisci. Tempora eius ut neque dolor quaerat dolore dolore. Dolore voluptatem sit etincidunt eius dolor numquam etincidunt. Adipisci numquam ut numquam. Sit tempora amet ipsum porro quaerat. Adipisci modi ipsum dolore sed., Dolor magnam quaerat eius porro labore eius non. Amet dolore etincidunt amet neque eius est consectetur. Adipisci etincidunt aliquam dolore quaerat non quisquam dolore. Adipisci adipisci ipsum ipsum ut porro neque modi. Quisquam aliquam velit quaerat. Dolor porro non neque porro quaerat eius. Modi voluptatem consectetur modi. Dolor voluptatem quiquia tempora. Voluptatem dolor dolorem dolore. Quisquam quiquia labore voluptatem non quisquam quisquam.
Martha Primm, marthaprimm@alunos.utfpr.edu.br, +55 86 94476- 151, 6168355, TECNOLOGIA EM DESIGN GRÁFICO, 9, CURITIBA, MECÂNICA, ESTRUTURA, Labore neque eius sed labore est. Sed numquam porro aliquam magnam. Quiquia consectetur quiquia dolorem numquam quiquia sed dolore. Ipsum eius etincidunt dolore. Eius etincidunt est non sed dolorem. Aliquam sit dolorem consectetur sed. Quisquam adipisci dolorem quiquia numquam eius. Numquam dolore aliquam sit velit modi., Dolor modi amet quaerat dolore sed quiquia. Quaerat amet magnam adipisci est numquam. Est aliquam dolore dolore. Modi dolor dolor labore consectetur. Voluptatem quiquia dolore amet numquam. Porro eius etincidunt porro quiquia tempora porro dolor. Quaerat etincidunt velit quiquia ut.
Ronald Michl, ronaldmichl@alunos.utfpr.edu.br, +55 12 93179-1446, 6670164, ENGENHARIA TÊXTIL, 2, APUCARANA, MECÂNICA, ESTRUTURA, Amet ipsum est neque labore sit. Sit dolorem quiquia tempora porro modi. Adipisci voluptatem porro ut. Sit aliquam magnam non labore tempora tempora non. Dolore etincidunt magnam sit consectetur consectetur labore. Magnam tempora dolor sit etincidunt est. Quisquam dolorem dolorem etincidunt porro ipsum quaerat consectetur. Eius eius est magnam dolorem porro non labore. Labore dolorem dolore quaerat numquam est., Dolore voluptatem eius voluptatem dolor. Consectetur dolorem velit quaerat quisquam. Modi est dolorem labore consectetur. Modi ut adipisci quiquia. Adipisci magnam est labore voluptatem. Dolorem est sed numquam tempora quisquam dolor consectetur.
James Sexton, jamessexton@alunos.utfpr.edu.br, +55 65 93872-1054,  184635, ENGENHARIA QUÍMICA, 5, CAMPO MOURÃO, MECÂNICA, ESTRUTURA, Numquam modi numquam sed non dolor. Adipisci ut amet amet. Dolore etincidunt neque dolorem tempora modi modi non. Labore est modi quiquia velit voluptatem aliquam. Quiquia dolore ut quisquam amet. Quisquam ut magnam quaerat dolore. Amet amet porro porro numquam., Quaerat ipsum labore adipisci voluptatem voluptatem velit dolorem. Magnam quiquia eius ipsum est quisquam. Aliquam etincidunt modi adipisci ut quisquam quiquia. Dolorem amet eius neque dolor sit ipsum amet. Neque modi labore dolor dolorem. Quisquam sit tempora numquam numquam sit est non. Labore non adipisci velit ipsum sit eius. Voluptatem voluptatem ipsum labore. Dolorem dolor est eius amet.
Kirsten Lee, kirstenlee@alunos.utfpr.edu.br, +55 15 97812-3470, 6597276, ENGENHARIA FLORESTAL, 5, DOIS VIZINHOS, MECÂNICA, ESTRUTURA, Voluptatem porro voluptatem eius adipisci ut ipsum. Labore consectetur ipsum non velit est. Adipisci porro eius aliquam magnam. Quiquia adipisci labore ut numquam neque voluptatem. Ipsum tempora est sed ipsum quaerat quaerat ipsum., Neque quiquia voluptatem magnam velit. Porro dolorem tempora dolore adipisci dolor aliquam ut. Consectetur neque magnam dolore labore dolorem quaerat etincidunt. Consectetur est dolore eius est dolorem magnam magnam. Porro eius dolorem velit dolore amet ut sit. Modi amet sed sit adipisci ut. Tempora modi numquam dolor porro.
Granville Harmon, granvilleharmon@alunos.utfpr.edu.br, +55 29 96992- 478, 3220040, ENGENHARIA QUÍMICA, 5, CAMPO MOURÃO, MECÂNICA, ESTRUTURA, Modi magnam ipsum quisquam ut neque quaerat ipsum. Etincidunt ipsum dolore etincidunt. Voluptatem amet eius adipisci consectetur magnam. Quisquam non tempora dolorem numquam sit. Est eius est ipsum aliquam consectetur modi. Amet ut est eius. Non sed quaerat eius dolore neque aliquam. Numquam aliquam tempora ut quiquia neque. Porro eius sit etincidunt amet labore ut dolore., Consectetur voluptatem est quiquia. Quisquam labore dolore etincidunt voluptatem. Labore amet consectetur dolor sit sed velit modi. Magnam aliquam neque aliquam. Magnam non etincidunt magnam dolore aliquam consectetur.
Nathaniel Andrews, nathanielandrews@alunos.utfpr.edu.br, +55 73 90587-3280, 4640675, EDUCAÇÃO FÍSICA, 7, CURITIBA, MECÂNICA, ESTRUTURA, Adipisci consectetur etincidunt quisquam. Dolorem amet eius non dolore non modi quiquia. Consectetur amet non magnam non. Dolorem labore quisquam est numquam. Amet quaerat neque sit porro. Numquam tempora ipsum sit dolorem., Etincidunt dolorem adipisci numquam dolore eius. Labore dolorem aliquam etincidunt magnam. Est tempora non adipisci. Sed porro quiquia consectetur tempora. Neque modi etincidunt labore non neque labore. Dolor amet amet non.
Kristine Hudspeth, kristinehudspeth@alunos.utfpr.edu.br, +55 39 98353- 441, 7068216, ENGENHARIA AMBIENTAL E SANITÁRIA, 6, CURITIBA, PESQUISA E EXTENSÃO, EXTENSÃO, Est numquam tempora modi tempora. Numquam non labore sit adipisci est velit. Adipisci porro aliquam ipsum velit. Velit adipisci quisquam sed quisquam. Labore voluptatem quisquam quaerat ut magnam. Consectetur labore dolorem quiquia sit ipsum quiquia consectetur. Tempora dolore velit eius adipisci. Sit labore amet sit. Magnam quaerat dolorem ut sed porro magnam., Dolore numquam porro quiquia numquam adipisci tempora. Dolorem consectetur magnam sed neque adipisci. Ipsum sed ut porro ipsum sit numquam. Etincidunt dolorem magnam etincidunt adipisci. Labore etincidunt dolorem ut numquam sed. Neque magnam magnam aliquam labore labore. Consectetur neque ut consectetur numquam ut. Porro est quisquam porro porro. Neque velit quiquia ut neque sit.
Terry Gamez, terrygamez@alunos.utfpr.edu.br, +55 55 95411-5254, 8568646, ENGENHARIA TÊXTIL, 2, APUCARANA, PESQUISA E EXTENSÃO, EXTENSÃO, Quisquam etincidunt quiquia ut quaerat. Dolor velit porro quisquam consectetur tempora. Ipsum porro modi aliquam. Dolor ipsum labore eius porro ut. Consectetur non consectetur dolore sit ipsum. Voluptatem quiquia labore adipisci. Porro labore amet sit dolorem porro dolore. Ipsum dolorem aliquam dolorem. Ut labore dolor ut etincidunt., Consectetur quaerat adipisci sit voluptatem dolor. Amet voluptatem consectetur ipsum porro numquam. Magnam sed etincidunt numquam voluptatem quaerat. Ipsum consectetur sit neque quaerat numquam. Tempora dolorem aliquam voluptatem velit ipsum est. Quiquia dolore quiquia dolor numquam ut sed. Voluptatem quaerat sit adipisci est neque numquam quaerat. Sed velit numquam magnam ipsum est tempora etincidunt. Magnam ipsum etincidunt est dolor ipsum.
Myrl Smith, myrlsmith@alunos.utfpr.edu.br, +55 31 95373- 639, 9302392, ENGENHARIA CIVIL, 4, TOLEDO, PESQUISA E EXTENSÃO, EXTENSÃO, Dolore modi sed non numquam dolorem quisquam consectetur. Quiquia ut sit ipsum adipisci velit non dolorem. Labore ipsum labore modi quiquia. Labore aliquam quiquia magnam. Dolorem quaerat ipsum velit eius. Quaerat etincidunt porro tempora ipsum dolor dolore., Dolore ipsum quisquam est dolor neque. Labore sed dolor porro quisquam numquam labore. Amet velit porro ipsum adipisci magnam quaerat. Consectetur ut consectetur ipsum est. Amet voluptatem ipsum eius est voluptatem modi. Quiquia est sit etincidunt. Tempora eius neque neque est modi amet.
Joseph Ross, josephross@alunos.utfpr.edu.br, +55 53 90971-6901, 1342580, ENGENHARIA MECATRÔNICA, 9, CURITIBA, PESQUISA E EXTENSÃO, EXTENSÃO, Voluptatem sed non est dolore ipsum. Amet porro aliquam dolore sed quiquia dolore velit. Tempora numquam consectetur quisquam quisquam etincidunt quisquam. Est dolor modi adipisci eius numquam labore. Magnam non non dolore adipisci non. Aliquam neque ipsum sed labore velit quisquam. Dolore sit eius quiquia quisquam sed dolor. Etincidunt voluptatem quisquam eius labore porro quaerat modi. Modi quiquia porro velit aliquam. Adipisci ipsum ipsum est., Non quiquia ipsum dolore velit. Quaerat porro est sed modi porro etincidunt. Eius velit numquam modi amet. Dolore adipisci dolorem dolor neque. Quisquam velit quaerat ipsum quiquia magnam sed est. Neque quisquam numquam etincidunt magnam.
James Broberg, jamesbroberg@alunos.utfpr.edu.br, +55 78 95272-9848, 4250837, ENGENHARIA DE CONTROLE E AUTOMAÇÃO, 6, CURITIBA, PESQUISA E EXTENSÃO, EXTENSÃO, Dolor est voluptatem tempora est quaerat voluptatem adipisci. Non labore etincidunt ut velit tempora. Est consectetur labore magnam sit dolor. Sit dolor magnam neque velit amet. Quisquam eius non porro. Consectetur amet adipisci modi tempora velit porro sed. Tempora dolorem numquam quisquam. Dolore ut sit ut neque. Dolorem etincidunt numquam voluptatem non., Numquam porro voluptatem adipisci labore eius consectetur. Eius aliquam numquam dolor est eius numquam dolor. Porro consectetur ut ut consectetur dolorem magnam. Dolorem sit ipsum quaerat sit dolorem non sit. Magnam eius numquam non non quiquia dolor. Velit dolorem dolore aliquam amet tempora eius. Quiquia quaerat quiquia adipisci consectetur velit dolorem dolore. Consectetur magnam quiquia amet sed.
Thomas Rohn, thomasrohn@alunos.utfpr.edu.br, +55 22 95555-5449, 3930190, ENGENHARIA DE MATERIAIS, 6, LONDRINA, PESQUISA E EXTENSÃO, EXTENSÃO, Ipsum consectetur numquam est numquam quiquia. Aliquam velit magnam aliquam modi ipsum aliquam labore. Eius eius consectetur ut labore. Ipsum consectetur numquam neque ipsum eius adipisci voluptatem. Sed quiquia modi modi ut aliquam. Sed porro labore consectetur sit quisquam magnam dolor. Magnam porro dolore porro dolore. Modi velit magnam numquam tempora non., Eius dolor modi est numquam consectetur modi. Amet quaerat est quisquam voluptatem voluptatem. Dolor quiquia velit consectetur eius numquam numquam. Quaerat consectetur tempora non ut dolorem dolorem est. Velit quaerat quaerat numquam dolorem dolore eius. Quaerat adipisci modi dolor consectetur. Amet dolorem tempora quisquam dolorem modi dolorem ipsum. Dolorem est quaerat ipsum.
Lorna White, lornawhite@alunos.utfpr.edu.br, +55 48 91803-1255,  961691, AGRONOMIA, 7, DOIS VIZINHOS, PESQUISA E EXTENSÃO, EXTENSÃO, Adipisci ut magnam tempora dolore aliquam eius. Quisquam quaerat amet ut voluptatem consectetur neque. Modi magnam dolorem non porro. Consectetur est aliquam sed ipsum amet dolor. Etincidunt consectetur porro sit. Voluptatem velit ipsum ipsum neque porro dolorem est. Quiquia non numquam quaerat magnam numquam. Ut consectetur quiquia modi dolore. Porro voluptatem amet dolorem est ut adipisci., Dolorem ipsum consectetur est eius sed magnam. Velit adipisci labore aliquam labore. Numquam dolore porro magnam. Porro dolore modi est velit dolore dolor numquam. Sed voluptatem voluptatem dolorem non voluptatem. Aliquam velit non ut amet dolorem. Amet porro consectetur magnam quisquam porro dolor. Dolorem sed non non quiquia. Magnam neque amet voluptatem dolor quisquam dolorem porro.
